iter	Passed	Remaining
0	0	97
1	1	86
2	2	83
3	3	77
4	4	78
5	5	79
6	5	79
7	6	78
8	7	77
9	8	77
10	9	77
11	10	77
12	11	76
13	12	75
14	13	75
15	14	73
16	15	73
17	16	73
18	17	73
19	18	72
20	19	71
21	19	70
22	21	70
23	21	69
24	23	69
25	23	67
26	24	66
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	69	21
76	70	20
77	71	20
78	72	19
79	72	18
80	74	17
81	74	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
