iter	Passed	Remaining
0	223	223348
1	225	112484
2	230	76475
3	231	57745
4	233	46490
5	235	38979
6	236	33593
7	242	30061
8	244	26961
9	246	24390
10	247	22282
11	249	20529
12	250	19052
13	253	17835
14	256	16827
15	258	15902
16	260	15053
17	261	14288
18	263	13626
19	265	13027
20	271	12672
21	273	12171
22	275	11688
23	276	11254
24	278	10855
25	279	10484
26	283	10217
27	286	9944
28	288	9645
29	289	9360
30	291	9104
31	293	8878
32	295	8660
33	299	8512
34	302	8345
35	305	8169
36	308	8018
37	310	7859
38	318	7844
39	320	7684
40	321	7530
41	324	7399
42	333	7426
43	335	7295
44	337	7162
45	339	7038
46	343	6954
47	346	6873
48	348	6766
49	350	6656
50	352	6551
51	354	6459
52	358	6401
53	360	6309
54	362	6234
55	364	6148
56	366	6060
57	369	6004
58	373	5960
59	377	5907
60	378	5832
61	381	5768
62	383	5699
63	390	5707
64	392	5649
65	394	5580
66	396	5515
67	397	5450
68	399	5395
69	405	5388
70	408	5339
71	411	5303
72	413	5252
73	418	5237
74	423	5222
75	425	5171
76	426	5118
77	428	5066
78	432	5037
79	437	5030
80	439	4983
81	440	4936
82	441	4881
83	443	4836
84	445	4791
85	454	4829
86	457	4797
87	458	4755
88	460	4712
89	466	4715
90	469	4686
91	470	4645
92	472	4606
93	473	4567
94	475	4532
95	479	4515
96	482	4494
97	484	4458
98	485	4422
99	487	4387
100	489	4352
101	490	4320
102	496	4323
103	498	4295
104	500	4264
105	502	4234
106	503	4204
107	505	4173
108	507	4151
109	512	4145
110	513	4116
111	515	4085
112	516	4056
113	518	4028
114	519	4001
115	521	3974
116	523	3952
117	526	3937
118	528	3910
119	529	3885
120	531	3861
121	532	3835
122	534	3811
123	537	3800
124	541	3787
125	542	3764
126	544	3739
127	545	3717
128	547	3698
129	549	3676
130	550	3654
131	554	3646
132	556	3629
133	558	3608
134	560	3588
135	561	3568
136	563	3548
137	564	3528
138	566	3508
139	570	3504
140	572	3486
141	573	3464
142	574	3445
143	576	3427
144	578	3408
145	579	3390
146	581	3374
147	583	3361
148	586	3351
149	588	3337
150	590	3321
151	592	3305
152	594	3288
153	595	3272
154	598	3263
155	601	3254
156	603	3239
157	604	3224
158	606	3209
159	608	3193
160	609	3175
161	610	3160
